,user_id,qid,topic,question,choice,opinions,demographic,user_answer,imp_model_answer,exp_model_answer,imexp_model_answer
10,67925,GAP21Q43_b_W82,Global attitudes,"Please indicate how much of a problem, if at all, the following would be for the US: The US trade deficit with China","['Very serious problem', 'Somewhat serious problem', 'Not too serious of a problem', 'Not a problem at all', 'Refused']","['The US does not benefit too much from being a member of NATO organizations.', 'The respondent refused to answer whether they think of China as a partner, competitor, or enemy of the US.', 'The US has done somewhat bad in dealing with the coronavirus outbreak.', 'I think children today in the US will be worse off financially than their parents when they grow up.', 'The person refused to make any changes to their lifestyle or work to help reduce the effects of global climate change.', ""The respondent refused to answer which statement comes closer to their view, even if neither is exactly right, about America's economy."", ""I am not too confident in Joe Biden's ability to make good decisions about the use of military force."", 'In the US, conflicts between people who support different political parties are very strong.', ""I don't have too much confidence in the healthcare system in the US to handle a future global health emergency that might occur."", 'There are strong conflicts between people who are religious and people who are not religious in the US.', 'China has done a somewhat bad job dealing with the coronavirus outbreak.', ""The respondent refused to answer whether they think it's good or bad for US colleges and universities to accept international students."", 'The respondent refused to answer whether having people of many different backgrounds makes the US better or worse.', 'The US does not benefit too much from being a member of the United Nations organizations.', ""China's growing military power is a very serious problem for the US."", 'The respondent refused to answer how much confidence they have in US President Joe Biden to do the right thing regarding world affairs.']","[{'Age': '30-49'}, {'Citizenship': 'Yes'}, {'Region': 'South'}, {'Education': 'High school graduate'}, {'Income': 'Refused'}, {'Marital status': 'Married'}, {'Political ideology': 'Conservative'}, {'Political party': 'Refused'}, {'Race': 'White'}, {'Religion': 'Refused'}, {'Frequency of religious attendance': 'Never'}, {'Gender': 'Male'}]",Very serious problem,Refused,Very serious problem,Refused
11,42166,MADEUPIMPa_W45,Misinformation,"Overall, how much of an impact do you think made-up news and information has on americans' confidence in government institutions?","['Big impact', 'Moderate impact', 'Small impact', 'No impact at all', 'Refused']","['There is a lot of made-up news and information created about politics and elections topics.', 'The preferred method for getting news is television.', ""I trust the accuracy of the news and information that I get from news outlets I don't come across often to some extent."", 'Being funny is not a reason for the creation of made-up news and information.', 'Steps should be taken to restrict made-up information that is intended to mislead the public.', 'The news I receive from my friends, family, and acquaintances online does not include information about political and social issues.', 'The issue of made-up news and information has led me to change the way I use social media.', 'It is too much to ask of the average American to be able to recognize breaking information that is published before everything is verified.', 'I have never avoided talking with someone because I thought they might bring made-up news and information into the conversation.', 'It is too much to ask of the average American to be able to recognize a video or image that is altered or made up to mislead the public', 'I do not trust the accuracy of the news and information that I get from political leaders and public officials very much.', 'The story being surprising or entertaining is a major reason why I click on links to news stories on social media.', 'It is too much to ask of the average American to be able to recognize satire about an issue or event.', 'Some made-up news and information is created about science and technology topics.', ""I mostly get news because I'm looking for it."", 'Journalists create some amount of made-up news and information.']","[{'Age': '65+'}, {'Citizenship': 'Yes'}, {'Region': 'West'}, {'Education': ""Associate's degree""}, {'Income': 'Less than $30,000'}, {'Marital status': 'Widowed'}, {'Political ideology': 'Liberal'}, {'Political party': 'Democrat'}, {'Race': 'Black'}, {'Religion': 'Protestant'}, {'Frequency of religious attendance': 'Once a week'}, {'Gender': 'Female'}]",Big impact,Moderate impact,Big impact,Big impact
12,1022,GUNSAFE_W26,Guns,Does having a gun in your household make you feel,"['Safer than you would feel without a gun in your household', 'Less safe than you would feel without a gun in your household', 'No more or less safe', 'Refused']","['I hardly ever watch TV programs about guns or watch gun-oriented videos.', 'Being a gun owner is somewhat important to my overall identity.', 'The amount of gun violence in video games does not contribute too much to gun violence in the country today.', 'I do not worry at all about having a personal health crisis.', 'I have not taken any gun safety courses such as weapons training, hunter safety or firearm safety.', 'No one else in my household owns a gun, excluding air guns like paintball, BB or pellet guns.', 'The reason why I own a gun is not for sport shooting, including target shooting and trap and skeet.', 'The person is not currently a member of a gun or shooting club or gun range.', 'Gun owners who have children in their home should consider taking gun safety courses, although it is not essential.', 'I personally own a gun, not including air guns such as paintball, BB or pellet guns.']","[{'Age': '50-64'}, {'Citizenship': 'Yes'}, {'Region': 'West'}, {'Education': 'College graduate/some postgrad'}, {'Income': '$50,000-$75,000'}, {'Marital status': 'Divorced'}, {'Political ideology': 'Moderate'}, {'Political party': 'Republican'}, {'Race': 'White'}, {'Religion': 'Nothing in particular'}, {'Frequency of religious attendance': 'Never'}, {'Gender': 'Male'}]",Safer than you would feel without a gun in your household,No more or less safe,Safer than you would feel without a gun in your household,No more or less safe
13,912,GUNRESPKIDSC_W26,Guns,"Thinking about gun owners who have children in their home, how important do you think it is for them to: Take gun safety courses","['Essential', 'Important but not essential', 'Not important', 'Should not be done', 'Refused']","['I never visit websites about guns, hunting or other shooting sports.', ""People who commit suicide using a gun would be less likely to do it if they didn't have access to a gun."", 'The amount of gun violence in video games does not contribute too much to gun violence in the country today.', 'I have not taken any gun safety courses such as weapons training, hunter safety or firearm safety.', 'I never used air guns, such as paintball, BB or pellet guns when I was growing up.', 'I never attend gun shows.', 'Gun owners who have children in their home should keep their shooting skills up-to-date, but it is not essential.', 'I worry a little about being the victim of a violent crime.']","[{'Age': '65+'}, {'Citizenship': 'Yes'}, {'Region': 'Northeast'}, {'Education': 'Some college, no degree'}, {'Income': '$100,000 or more'}, {'Marital status': 'Married'}, {'Political ideology': 'Liberal'}, {'Political party': 'Independent'}, {'Race': 'White'}, {'Religion': 'Protestant'}, {'Frequency of religious attendance': 'Seldom'}, {'Gender': 'Female'}]",Essential,Important but not essential,Essential,Important but not essential
14,5463,CAREGIV6C_W27,Automation and driverless vehicles,"If robot caregivers such as these were developed, do you think the following are likely or not likely to happen as a result? Many older adults would treat their robot caregiver like a human friend","['Yes, likely', 'No, not likely', 'Refused']","['I do not use a digital assistant to control other devices in my home, such as a stereo, tv, thermostat, or lighting.', 'The reason for using a voice-controlled digital assistant being easier for children to use is a minor one.', 'Email or social media have had a positive impact on me and my job or career.', 'I am somewhat enthusiastic about the possibility of robots and computers being able to do most of the jobs currently done by humans in the future, for society as', ""The respondent favors the requirement for driverless vehicles to have a person in the driver's seat who could take control in an emergency situation."", 'The concept of a robot caregiver for the elderly seems somewhat realistic based on what you know.', 'It is not very likely that the job of a nurse will be mostly replaced by robots or computers in my lifetime.', 'I am not too worried about the development of driverless vehicles.', 'I am somewhat enthusiastic about the possibility of a robot caregiver for society as a whole.', 'Personally, I would want to ride in a driverless vehicle if I had the opportunity.', 'I am somewhat enthusiastic about the development of driverless vehicles.', 'Most of the time, digital assistants accurately respond to commands.', 'The technologies that help customers serve themselves on their own have had a positive impact on me and my job or career.', 'It is likely that many people who drive for a living would lose their jobs if driverless vehicles become widespread.', 'The job of a legal clerk is somewhat likely to be mostly replaced by robots or computers in my lifetime.']","[{'Age': '30-49'}, {'Citizenship': 'Yes'}, {'Region': 'South'}, {'Education': 'High school graduate'}, {'Income': 'Less than $30,000'}, {'Marital status': 'Never been married'}, {'Political ideology': 'Very conservative'}, {'Political party': 'Democrat'}, {'Race': 'Black'}, {'Religion': 'Protestant'}, {'Frequency of religious attendance': 'A few times a year'}, {'Gender': 'Female'}]","Yes, likely","No, not likely","Yes, likely","No, not likely"
15,22178,BETTERBIZ1F2F_W36,Gender & Leadership,"In general, do you think men or women in top executive business positions are better at valuing people from different backgrounds?","['Men are better', 'Women are better', 'No difference', 'Refused']","[""Being ambitious mostly hurts a woman's chances of getting a top executive business position."", 'There is no difference in the ability of men and women to run large oil or gas companies.', 'It is essential for someone in a top executive business position to provide fair pay and good benefits.', 'It is essential for someone in a top executive business position to be honest and ethical.', 'It would be very good for the country if a woman was elected president.', 'It is important, but not essential, for someone in a top executive business position to work well under pressure.', 'There is no difference in the ability of men and women in top executive business positions to stand up for what they believe in, despite pressure to make a', 'In general, when it comes to their approach to leadership, men and women in top positions in business and politics are basically similar.', 'It is generally easier for men to get top executive positions in business these days.', 'I would say that things are pretty happy in my life these days.', ""Many businesses are not ready to hire women for top executive positions, which is a major reason why there aren't more women in these positions."", 'More women running for U.S. Congress this year than in the past is a good thing.']","[{'Age': '65+'}, {'Citizenship': 'Yes'}, {'Region': 'Northeast'}, {'Education': 'Postgraduate'}, {'Income': '$100,000 or more'}, {'Marital status': 'Married'}, {'Political ideology': 'Very liberal'}, {'Political party': 'Democrat'}, {'Race': 'White'}, {'Religion': 'Atheist'}, {'Frequency of religious attendance': 'Never'}, {'Gender': 'Male'}]",Women are better,No difference,Women are better,No difference
16,22468,TRAITBIZWF2B_W36,Gender & Leadership,"In general, how do you think being compassionate impacts a woman's chances of getting a top executive business position?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']","['There is no difference in the ability of men and women to run large oil or gas companies.', 'It is essential for someone in a top executive business position to provide fair pay and good benefits.', 'It is essential for someone in a top executive business position to be honest and ethical.', 'It would be somewhat good for the country if a woman was elected president.', 'It is important, but not essential, for someone in a top executive business position to work well under pressure.', 'There is no difference in the ability of men and women in top executive business positions to stand up for what they believe in, despite pressure to make a', ""Being approachable does not make much of a difference in a man's chances of getting a top executive business position."", 'It is generally easier for women to get top executive positions in business these days.', 'I am not too happy with how things are these days in my life.', ""Women being held to higher standards than men is a major reason why there aren't more women in top executive business positions."", 'Neither men nor women in top positions in business and politics are better in their approach to leadership.']","[{'Age': '50-64'}, {'Citizenship': 'Yes'}, {'Region': 'West'}, {'Education': 'College graduate/some postgrad'}, {'Income': '$100,000 or more'}, {'Marital status': 'Living with a partner'}, {'Political ideology': 'Liberal'}, {'Political party': 'Other'}, {'Race': 'White'}, {'Religion': 'Atheist'}, {'Frequency of religious attendance': 'Never'}, {'Gender': 'Male'}]",Mostly helps a woman's chances,Doesn't make much of a difference,Mostly helps a woman's chances,Mostly helps a woman's chances
17,60614,FIN_SIT_W54,Economic inequality,How would you describe your household's financial situation?,"['Live comfortably', 'Meet your basic expenses with a little left over for extras', 'Just meet your basic expenses', ""Don't even have enough to meet basic expenses"", 'Refused']","['Our economic system requires major changes to address economic inequality in this country.', 'Churches and other religious organizations should have some responsibility in reducing economic inequality in our country.', ""The family's financial situation impacts the ability of children to succeed in life in the area where you live."", 'I have an IRA, 401K or a similar kind of retirement account.', ""The country's current economic conditions are neither helping nor hurting me and my family."", 'I or anyone in my household have not received medicaid benefits or government services and benefits in the past 12 months.', 'The federal government does not have a responsibility to provide a college education for all Americans.', ""The country's tax system is contributing a fair amount to my opinion about how the economy is doing."", 'I or anyone in my household have not received unemployment benefits or government services and benefits in the past 12 months.', ""The stock market affects my household's financial situation to a fair amount."", 'Investing in education and job training programs for people who are poor would be better for the government to address economic inequality in this country.', 'Increasing the federal minimum wage would do nothing to reduce economic inequality in the U.S.', 'Wages and incomes are contributing a fair amount to my opinion about how the economy is doing.', 'The federal government should have some responsibility in reducing economic inequality in our country.', 'The growing number of legal immigrants working in the U.S. contributes a great deal to economic inequality in this country.', ""I would rate economic conditions in this country today as only fair when thinking about the nation's economy.""]","[{'Age': '30-49'}, {'Citizenship': 'Yes'}, {'Region': 'South'}, {'Education': 'Postgraduate'}, {'Income': '$100,000 or more'}, {'Marital status': 'Married'}, {'Political ideology': 'Moderate'}, {'Political party': 'Other'}, {'Race': 'White'}, {'Religion': 'Protestant'}, {'Frequency of religious attendance': 'Once a week'}, {'Gender': 'Female'}]",Live comfortably,Meet your basic expenses with a little left over for extras,Live comfortably,Meet your basic expenses with a little left over for extras
18,70003,CANMTCHPOL_W92,Political views,I usually feel like,"['There is at least one candidate who shares most of my views', 'None of the candidates represent my views well', 'Refused']","['The decline of white people as a share of the U.S. population is neither good nor bad for society.', 'The statement that society is better off if people make marriage and having children a priority is closer to my own views.', 'Banks and other financial institutions are having a positive effect on the way things are going in the country these days.', 'I disapprove of the way Joe Biden is handling his job as president.', ""I think America's military should be kept about as is."", 'You would prefer to live in a community where the houses are larger and farther apart, but schools, stores, and restaurants are several miles away.', 'The country has made a lot of progress over the last 50 years toward ensuring equal rights for all Americans regardless of their racial or ethnic backgrounds.', 'The statement that comes closer to my own views is that most things in society are too complicated to be clearly divided between good and evil.', 'The fact that there are some people in this country who have personal fortunes of a billion dollars or more is neither a good thing nor a bad thing.', ""The answer given is that it is not the government's job to protect people from themselves."", ""Believing in God is important for a person to be considered good and moral, but it is not essential regardless of one's own religious beliefs."", 'Increased public attention to the history of slavery and racism in America is somewhat bad for our society.', 'Preventing people who are not legally qualified to vote from casting a ballot is very important in elections in the country.', 'Nothing at all needs to be done to ensure equal rights for all Americans regardless of their racial or ethnic backgrounds.']","[{'Age': '30-49'}, {'Citizenship': 'Yes'}, {'Region': 'South'}, {'Education': 'College graduate/some postgrad'}, {'Income': '$100,000 or more'}, {'Marital status': 'Married'}, {'Political ideology': 'Very conservative'}, {'Political party': 'Republican'}, {'Race': 'White'}, {'Religion': 'Protestant'}, {'Frequency of religious attendance': 'Once a week'}, {'Gender': 'Male'}]",There is at least one candidate who shares most of my views,None of the candidates represent my views well,There is at least one candidate who shares most of my views,None of the candidates represent my views well
19,839,GUN1_W26,Guns,"Does anyone else in your household own any guns (not including air guns, such as paintball, BB or pellet guns)?","['Yes, someone else in my household owns a gun', 'No, no one else in my household owns a gun', 'Refused']","['The person used air guns, such as paintball, BB or pellet guns, sometimes when they were growing up.', 'The ease with which people can illegally obtain guns contributes a great deal to gun violence in the country today.', 'I never attend gun shows.', 'I worry a little about having a personal health crisis.', 'People in my local community tend to look at most gun owners in a positive way.', 'Sport shooting, including target shooting and trap and skeet, was not a reason for having guns in my household when I was growing up.', 'I personally own a gun, not including air guns such as paintball, BB or pellet guns.', 'The person hardly ever visits websites about guns, hunting or other shooting sports.', 'People who commit suicide would find a way to do it whether they had access to a gun or not.', 'I would say my local community is somewhat safe from crime.', 'Having a gun in your household makes you feel safer than you would feel without a gun in your household.']","[{'Age': '50-64'}, {'Citizenship': 'Yes'}, {'Region': 'Midwest'}, {'Education': 'Some college, no degree'}, {'Income': '$75,000-$100,000'}, {'Marital status': 'Married'}, {'Political ideology': 'Conservative'}, {'Political party': 'Republican'}, {'Race': 'White'}, {'Religion': 'Protestant'}, {'Frequency of religious attendance': 'Once a week'}, {'Gender': 'Female'}]","Yes, someone else in my household owns a gun","No, no one else in my household owns a gun","Yes, someone else in my household owns a gun","No, no one else in my household owns a gun"
20,67526,GAP21Q13_b_W82,Global attitudes,"Thinking about the US, how much would you say the healthcare system needs to be changed, if at all?","['It needs to be completely reformed', 'It needs major changes', 'It needs minor changes', ""It doesn't need to be changed"", 'Refused']","['I have a somewhat unfavorable opinion of China.', 'The US should play a shared leadership role in the world.', 'I am somewhat concerned that global climate change will harm me personally at some point in my lifetime.', ""America's economy is failing to recover from the effects of the coronavirus outbreak in ways that show the weaknesses of its economic system, even if neither statement is"", ""I am somewhat confident in Joe Biden's ability to make good decisions about international trade."", 'Having people of many different backgrounds, such as different ethnic groups, religions and races, makes the US a better place to live.', 'I have a great deal of confidence in the healthcare system in the US to handle a future global health emergency that might occur.', 'Conflicts between people who live in cities and people who live in rural areas in the US are not very strong.', 'The government of the US respects the personal freedoms of its people.', ""China's growing technological power is somewhat of a serious problem for the US."", 'The respondent refused to provide an answer on their views of democracy in the US.', 'I have a somewhat favorable opinion of the United Nations.', 'The current economic situation in the US is somewhat bad.', 'The speaker believes that we should pay less attention to problems overseas and concentrate on problems here at home.', 'Tensions between China and Taiwan would be somewhat of a serious problem for the US.', ""The US should prioritize strengthening economic relations with China, even if it means not addressing human rights issues, according to the respondent's view.""]","[{'Age': '30-49'}, {'Citizenship': 'Yes'}, {'Region': 'South'}, {'Education': ""Associate's degree""}, {'Income': '$30,000-$50,000'}, {'Marital status': 'Married'}, {'Political ideology': 'Conservative'}, {'Political party': 'Other'}, {'Race': 'White'}, {'Religion': 'Nothing in particular'}, {'Frequency of religious attendance': 'A few times a year'}, {'Gender': 'Male'}]",It needs major changes,It doesn't need to be changed,It needs major changes,It needs minor changes
21,19894,SCI2C_W34,Biomedical & food issues,Do you think science has had a mostly positive or mostly negative effect on the quality of the environment in the U.S.?,"['Mostly positive', 'Mostly negative', 'Refused']","['Private investment can ensure sufficient scientific progress without government investment.', 'Artificial preservatives are not restricted or limited on a regular basis.', 'The speaker believes that humans have evolved over time in the development of human life on Earth.', 'Eating food and drinks with artificial preservatives poses some health risk for the average person over the course of their lifetime.', 'I oppose the use of animals in scientific research.', 'The respondent is unsure which statement about the development of human life on Earth is closest to what most biological scientists say.', 'You choose foods to eat because they are easy and most convenient more than half of the time.', 'The process for evaluating the safety and effectiveness of new medical treatments is too slow and it is a big problem.', 'I do not restrict or limit any of the following foods on a regular basis.', ""I don't care too much about the issue of genetically modified foods personally."", ""The likelihood of inequality increasing due to the availability of gene editing for changing a baby's genetic characteristics is not too high."", ""New medical treatments being made available before fully understanding their effects on people's health is a big problem.""]","[{'Age': '50-64'}, {'Citizenship': 'Yes'}, {'Region': 'South'}, {'Education': 'Less than high school'}, {'Income': 'Less than $30,000'}, {'Marital status': 'Never been married'}, {'Political ideology': 'Conservative'}, {'Political party': 'Republican'}, {'Race': 'White'}, {'Religion': 'Protestant'}, {'Frequency of religious attendance': 'Seldom'}, {'Gender': 'Male'}]",Mostly negative,Mostly positive,Mostly negative,Mostly positive
22,72631,ALLIES_W92,Political views,Please choose the statement that comes closer to your own views.,"['In foreign policy, the U.S. should take into account the interests of its allies even if it means making compromises', 'In foreign policy, the U.S. should follow its own national interests even when its allies strongly disagree', 'Refused']","['The decline of white people as a share of the U.S. population is neither good nor bad for society.', 'The government should continue programs like Medicare and Medicaid for seniors and the very poor.', 'Colleges and universities are having a positive effect on the way things are going in the country these days.', 'Republicans in this country are not too comfortable to freely and openly express their political views in general.', ""The size of America's military should be increased a great deal."", 'You refused to live in a community where the houses are.', 'It would not bother me at all to regularly hear people speak a language other than English in public places in my community.', 'The answer provided is that government aid to the poor does more good than harm, as people cannot escape poverty until their basic needs are met.', 'The fact that there are some people in this country who have personal fortunes of a billion dollars or more is neither a good thing nor a bad thing.', 'You would rather have a smaller government providing fewer services if you had to choose.', 'The statement that comes closer to my own views is that most things in society can be pretty clearly divided into good and evil.', 'Same-sex marriages being legal in the U.S. are neither good nor bad for society.', 'Preventing people who are not legally qualified to vote from casting a ballot is very important in elections in the country.', 'The country has made a lot of progress over the last 50 years toward ensuring equal rights for all Americans regardless of their racial or ethnic backgrounds.']","[{'Age': '65+'}, {'Citizenship': 'Yes'}, {'Region': 'Midwest'}, {'Education': 'Postgraduate'}, {'Income': '$75,000-$100,000'}, {'Marital status': 'Married'}, {'Political ideology': 'Conservative'}, {'Political party': 'Independent'}, {'Race': 'White'}, {'Religion': 'Protestant'}, {'Frequency of religious attendance': 'Once a week'}, {'Gender': 'Female'}]","In foreign policy, the U.S. should follow its own national interests even when its allies strongly disagree",Refused,"In foreign policy, the U.S. should follow its own national interests even when its allies strongly disagree","In foreign policy, the U.S. should follow its own national interests even when its allies strongly disagree"
23,62456,INEQ5_g_W54,Economic inequality,"How much, if at all, do you think our tax system contributes to economic inequality in this country?","['Contributes a great deal', 'Contributes a fair amount', 'Contributes not too much', 'Contributes not at all', 'Refused']","['The federal government should have a lot of responsibility in reducing economic inequality in our country.', 'Wealthy individuals should have a lot of responsibility in reducing economic inequality in our country.', ""The answer given is that poor people have hard lives because government benefits don't go far enough to help them live decently."", 'I have personal investments in stocks, bonds or mutual funds other than those held in an IRA or 401K.', ""The country's current economic conditions are helping people who are white a lot."", 'I or anyone in my household have not received medicaid benefits or government services and benefits in the past 12 months.', 'It is the belief that adequate income in retirement is a responsibility of the federal government to provide for all Americans.', ""The country's tax system is contributing a fair amount to my opinion about how the economy is doing."", 'I or anyone in my household have not received unemployment benefits or government services and benefits in the past 12 months.', ""The stock market affects my household's financial situation to a fair amount."", 'Most people are not guaranteed success through hard work and determination.', 'Reducing illegal immigration would not do too much to reduce economic inequality in the U.S.', 'Wages and incomes are contributing a great deal to my opinion about how the economy is doing.', 'State governments should have a lot of responsibility in reducing economic inequality in our country.', ""The family's financial situation greatly impacts the ability of children to succeed in life in the area where you live."", 'I expect that economic conditions in the country as a whole will be worse a year from now.']","[{'Age': '30-49'}, {'Citizenship': 'Yes'}, {'Region': 'West'}, {'Education': 'College graduate/some postgrad'}, {'Income': '$100,000 or more'}, {'Marital status': 'Living with a partner'}, {'Political ideology': 'Liberal'}, {'Political party': 'Democrat'}, {'Race': 'White'}, {'Religion': 'Nothing in particular'}, {'Frequency of religious attendance': 'Never'}, {'Gender': 'Male'}]",Contributes a great deal,Contributes a fair amount,Contributes a great deal,Contributes a fair amount
24,42126,SOURCESKEPa_W45,Misinformation,How much do you trust the accuracy of the news and information that you get from your main news outlets,"['A great deal', 'Some', 'Not much', 'Not at all', 'Refused']","['There is a lot of made-up news and information created about politics and elections topics.', 'The preferred method for getting news is television.', ""I don't trust the accuracy of news and information from news outlets I don't come across often."", 'Being funny is a minor reason why made-up news and information is created.', 'Steps should be taken to restrict made-up information that is intended to mislead the public.', 'The mix of news I get from my friends, family, and acquaintances online about political and social issues represents more than one side.', 'The issue of made-up news and information has led me to change the way I use social media.', 'It is too much to ask of the average American to be able to recognize breaking information that is published before everything is verified.', 'I have never avoided talking with someone because I thought they might bring made-up news and information into the conversation.', 'It is too much to ask of the average American to be able to recognize a video or image that is altered or made up to mislead the public', 'I trust the accuracy of the news and information that I get from political leaders and public officials to some extent.', 'The story being surprising or entertaining is a minor reason why I click on links to news stories on social media.', 'It is too much to ask of the average American to be able to recognize satire about an issue or event.', 'Some made-up news and information is created about science and technology topics.', ""I mostly get news because I'm looking for it."", 'Journalists create some amount of made-up news and information.']","[{'Age': '30-49'}, {'Citizenship': 'Yes'}, {'Region': 'Midwest'}, {'Education': 'College graduate/some postgrad'}, {'Income': '$75,000-$100,000'}, {'Marital status': 'Married'}, {'Political ideology': 'Moderate'}, {'Political party': 'Other'}, {'Race': 'Black'}, {'Religion': 'Protestant'}, {'Frequency of religious attendance': 'Once a week'}, {'Gender': 'Female'}]",A great deal,Not much,A great deal,Some
25,22180,TRAITPOLMF1C_W36,Gender & Leadership,"In general, how do you think being ambitious impacts a man's chances of getting elected to high political office?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']","['I would say that things are pretty happy in my life these days.', 'It is essential for someone in high political office to stand up for what they believe in, despite political pressure.', 'The speaker believes that it would be somewhat bad for the country if a woman was elected president.', 'Maintaining a tone of civility and respect in politics is important, but not essential to me for someone in high political office.', 'There is no difference in the ability of men and women in high political offices to stand up for what they believe in, despite political pressure.', 'The statement ""Women who run for office are held to higher standards than men"" is not a reason for there being fewer women than men in high political', 'My spouse is not employed.', 'In general, when it comes to their approach to leadership, men and women are basically different in the leadership styles of people in top positions in business and', 'Many Americans not being ready to elect a woman to higher office is a minor reason for there being fewer women than men in high political offices.']","[{'Age': '65+'}, {'Citizenship': 'Yes'}, {'Region': 'Midwest'}, {'Education': 'College graduate/some postgrad'}, {'Income': '$75,000-$100,000'}, {'Marital status': 'Married'}, {'Political ideology': 'Conservative'}, {'Political party': 'Republican'}, {'Race': 'White'}, {'Religion': 'Nothing in particular'}, {'Frequency of religious attendance': 'Never'}, {'Gender': 'Female'}]",Mostly helps a man's chances,Doesn't make much of a difference,Mostly helps a man's chances,Mostly helps a man's chances
26,47417,PP6c_W49,Privacy & Surveilance,"How comfortable are you, if at all, with companies using your personal data to help them develop new products?","['Very comfortable', 'Somewhat comfortable', 'Not too comfortable', 'Not comfortable at all', 'Refused']","['The speaker is unsure whether sharing data about students from poorly performing schools with a nonprofit group seeking to improve educational outcomes is acceptable or unacceptable.', 'I do not belong to any loyalty programs of a grocery store or a supermarket that I frequent.', 'I do not regularly wear a smart watch or a wearable fitness tracker.', 'I understand nothing about what companies are doing with the data they collect about me.', 'I do not have a voice-controlled smart speaker in my home, such as an Amazon Echo or a Google Home.', 'I have a little control over who can access the search terms I use online.', 'All Americans should have the right to have potentially embarrassing photos or videos removed from public online search results, according to the answer given.', 'I have not had someone attempt to open a line of credit or apply for a loan using my name in the last 12 months.', ""I am not too confident that companies will publicly admit mistakes and take responsibility when they misuse or compromise their users' personal data."", 'When talking about politics with people on social media who they disagree with, the speaker generally finds it to be stressful and frustrating based on their experience.', 'I do not use a password manager, such as LastPass or iCloud Keychain, to help keep track of my online passwords.']","[{'Age': '30-49'}, {'Citizenship': 'Yes'}, {'Region': 'Midwest'}, {'Education': 'High school graduate'}, {'Income': 'Less than $30,000'}, {'Marital status': 'Married'}, {'Political ideology': 'Moderate'}, {'Political party': 'Independent'}, {'Race': 'White'}, {'Religion': 'Nothing in particular'}, {'Frequency of religious attendance': 'Seldom'}, {'Gender': 'Male'}]",Somewhat comfortable,Not comfortable at all,Somewhat comfortable,Not too comfortable
27,67918,GAP21Q26_c_W82,Global attitudes,Would you say China is doing a good or bad job dealing with global climate change?,"['Very good job', 'Somewhat good job', 'Somewhat bad job', 'Very bad job', 'Refused']","['I am not too satisfied with the way democracy is working in the US.', 'I have a somewhat unfavorable opinion of Germany.', 'The US should be the single world leader in terms of leadership role in the world.', 'I am not concerned at all that global climate change will harm me personally at some point in my lifetime.', ""America's economy is recovering from the effects of the coronavirus outbreak in ways that show the strengths of its economic system, even if neither statement is exactly right"", ""I am not too confident in Joe Biden's ability to deal effectively with the threat of terrorism."", 'The presence of people from diverse backgrounds, including different ethnic groups, religions, and races, makes the US a worse place to live.', 'I have some confidence in the healthcare system in the US to handle a future global health emergency that might occur.', 'There are strong conflicts between people who live in cities and people who live in rural areas in the US.', 'The answer is that democracy in the US is a good example for other countries to follow, even if neither statement is exactly right.', 'The tensions between Mainland China and Hong Kong would be a very serious problem for the US.', 'The US has done somewhat good in dealing with the coronavirus outbreak.', 'I have a very unfavorable opinion of NATO, that is, North Atlantic Treaty Organization.', 'The current economic situation in the US is somewhat good.', 'The US benefits a fair amount from being a member of NATO organizations.', 'Cyberattacks from China would be a very serious problem for the US.']","[{'Age': '50-64'}, {'Citizenship': 'Yes'}, {'Region': 'South'}, {'Education': 'Less than high school'}, {'Income': '$30,000-$50,000'}, {'Marital status': 'Married'}, {'Political ideology': 'Very conservative'}, {'Political party': 'Republican'}, {'Race': 'White'}, {'Religion': 'Roman Catholic'}, {'Frequency of religious attendance': 'Seldom'}, {'Gender': 'Male'}]",Very bad job,Refused,Very bad job,Somewhat bad job
